App
Microsoft Publisher
Microsoft Outlook
Exchange
Exchange
ActiveX Data Objects
ADO
Access Components
MDAC
Microsoft PowerPoint
Office
Media Player
WMP
Internet Explorer
Microsoft Windows Media Player
Media Player
Media Player
GIFIMP32.FLT
Office
Korean Input Method Editor
IME
Office
Microsoft Office
Web Client service
WebClnt.dll
Microsoft Outlook Express
vti
bin
vti
adm
Microsoft FrontPage Server Extensions
SharePoint Team Services
KDE
Microsoft WMF parsing application
Internet Explorer
Microsoft PowerPoint
Microsoft Office
Office XP SP3
Office
Office
UPnP
Services DACLs
DnsCache
Adobe Flash Player
Microsoft Windows Media Player
Microsoft Internet Information Services
IIS
Microsoft Exchange
Microsoft Excel
Microsoft Excel
Microsoft Excel
Microsoft Excel
Auto Select
Microsoft Office
Office
Office
CRpcIoManagerServer
Microsoft Distributed Transaction Coordinator
MSDTC
netlink
rcv
af
nat
PPTP NAT helper
netfilter
ip
nat
helper
pptp.c
nat
PPTP NAT helper
netfilter
ip
nat
helper
pptp.c
GNOME Evolution
apreq
parse
headers
apreq
parse
Apache2
Request
Libapreq2
nfs-server rpc.mountd
Albatross web application toolkit
crawl
adzapper
Freeciv
Francesco Stablum tcpick
GnuPG
Debian
Kaffeine Player
attachment scrubber
Scrubber.py
Mailman
library email module
Imager
libimager-perl
FreeBSD
ee
FreeBSD
PAM-MySQL
Microsoft Internet Explorer
Sendmail
ISO Transport Service
TCP
RFC
LiveData ICCP Server
xlockmore
xlockmore
phpBB
CubeCart
VEGO Web Forum
PHPjournaler
VEGO Links Builder
Primo Cart
Chipmunk Guestbook
pinentry
SCO OpenServer
DiscusWare Discus Freeware
Professional
PHPenpals
phpBook
oaBoard
File
ExtAttr
B-net Software
ScozNet ScozBook BETA
vBulletin
Intel Graphics Accelerator Driver
ImageMagick
GraphicsMagick
SMS Server Tools
smstools
raSMP
Nkads
alfa
Next Generation Image Gallery
Lite Edition
Lizard Cart CMS
inTouch
ESRI ArcPad
IDV Directory Viewer
Open-Xchange
Inline HTML
Card ME PHP
oaBoard
wan
PHP
kern
kern
OpenBSD
Valdersoft Shopping Cart
NicoFTP
sBLOG
TinyPHPForum
TPF
TinyPHPForum
TinyPHPForum
PostgreSQL
gdi
gdi
Wine
WMF
Timecan CMS
mcl
Timecan CMS
Modular Merchant Shopping Cart
Foro
Domus
Boxcar Media Shopping Cart
Enhanced Simple PHP Gallery
Enhanced Simple PHP Gallery
Joomla
OnePlug Solutions OnePlug CMS
iNETstore Ebusiness Software
IBM Lotus Notes
Domino Server
IBM Lotus Notes
Domino Server
IBM Lotus Notes
Domino Server
IBM Lotus Notes
Domino Server
IBM Lotus Notes
Domino Server
IBM Lotus Notes
Domino Server
Public
Aquifer CMS
ADN Forum
